ID,Crime,Date,Time,Suspect Gender,Suspect Race,Victim Count,Victim Gender,Victim Age,Weapon Type,Location,Address,City,County,State,Latitude,Longitude
2950,Murder,9/2/1990,UNK,Male,White,1,Male,22,UNK,Oxford Apartments ,924 N 25th St,Milwaukee,UNK,Wisconsin,43.0422719,-87.9465747
2990,Murder,UNK,UNK,Female,White,1,Female,78,Poison,Boarding House,1434 F St,Sacramento,UNK,California,38.582705,-121.4872875
2991,Robbery,12/4/2007,UNK,Male,White,1,Female,46,UNK,Hancock Whitney ATM,101 N Monroe St,Tallahassee,UNK,Florida,30.438631,-84.280992
2992,"Murder, Burglary",3/27/1985,UNK,Male,Hispanic,2,"Male, Female","64, 44",UNK,Home,UNK,Whittier,UNK,California,33.946746,-117.96664
2994,"Murder, Sexual Assault",5/14/1985,UNK,Male,Hispanic,2,"Male, Female","66, 56",UNK,Home,UNK,Monterey Park,UNK,California,34.038951,-118.10405
2996,Falsely Impersonating an Officer,10/12/2019,UNK,Male,White,1,UNK,UNK,UNK,UNK,UNK,UNK,Orange,Florida,28.51,-81.32
3018,Robbery,10/29/2018,1354,Male,Black,0,N/A,N/A,Note,Eagle Bank,277 A.Washington street,Alexandria,UNK,Virginia,38.8029984,-77.0498218
3035,Murder,6/29/2006,2130,Male,Black,1,Female,37,Handgun,Carwash,2924 E Thomas Rd.,Phoenix,Maricopa,Arizona,33.4808838,-112.0210187
3072,Murder,5/25/1975,UNK,Male,White,1,Male,16,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
3090,Murder,1/1/1982,UNK,UNK,UNK,1,Female,20,UNK,UNK,UNK,Willoughby Hills,UNK,Ohio,41.5876,-81.4395
3238,Murder,11/5/1989,UNK,Male,UNK,1,Female,22,UNK,Lake Ave (Prostitution Strip),1490 Lake Ave,Rochester,UNK,New York,43.1942462,-77.630355
3254,Murder,1/1/1992,UNK,UNK,UNK,1,Female,24,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
3271,Murder,11/15/1989,UNK,Male,UNK,1,Female,30,UNK,In Random Backyard,308 River Heights Cir,Rochester,UNK,New York,43.2087313,-76.935668
3296,Murder,3/25/2018,UNK,Female,White,1,Male,81,Insulin injection,Hospital,4 Medical Center Dr,Clarksburg,UNK,West Virginia,39.2704,-80.3618
3330,Attempted Robbery,UNK,UNK,Male,White,1,Female,46,UNK,Hancock Whitney ATM,101 N Monroe St,Tallahassee,UNK,Florida,30.438631,-84.280992
3360,Murder,6/22/1980,UNK,Male,Black,1,Female,7,UNK,Wooded area on the end of Verbena Street,Intersection of Verbena Street and Sewanne Ave NW,Atlanta,UNK,Georgia,33.757257,-84.428851
3375,"Murder, Sexual Assault",4/10/1984,UNK,Male,Hispanic,1,Female,9,UNK,Hotel,UNK,San Francisco,UNK,California,37.719169,-122.5004
